,軸,単語,登場数,登場率%/22439,レビューあたり/66,他のレビューでの登場率%,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,ネタ,名物,1,0.0,0.01,9.703273884608667e-06,桜鯛　1,ハマグリヅケトリ　1,貝　1,コハダ　1,カツオ　1,ウニ　1,握り　1,トロ　1,巻　1,金目鯛　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
1,ネタ,食材,16,0.07,0.24,0.00016495565603834734,する　4,大将　4,最高　4,提供　3,れる　2,お酒　2,三谷　2,さん　2,季節　2,変わる　2,モダン　2,素晴らしい　2,今回　1,一番　1,驚き　1,こい　1,ソーメン　1,かな　1,いる　1,考える　1
2,素材単体,イワシ,8,0.03,0.12,0.0,香ばしい　2,つみれ　2,おでん　2,鮪　2,のせる　2,脂　2,後　1,最初　1,料理　1,岸和田　1,美味しい　1,頂く　1,ステーキ　1,握り　1,フィーリング　1,合う　1,続く　1,秋刀魚　1,ツブ　1,出る　1
3,素材単体,キンキ,3,0.01,0.04,3.881309553843467e-05,最高　2,触れる　1,本日　1,銚子　1,使う　1,料理　1,する　1,喉　1,鳴る　1,普段　1,好む　1,シャコ　1,脂　1,乗る　1,からすみ　1,ご飯　1,一緒　1,食べる　1,*　*,*　*
4,素材単体,白魚,11,0.04,0.16,0.00010673601273069534,宍道湖　4,小柱　3,茶碗蒸し　3,蒸す　3,焼く　2,立派　2,皇室献上　2,品　2,小肌　2,雲丹　2,鯖　2,鮑　2,つまむ　1,車海老　1,コハダ　1,昆布締め　1,８　1,年　1,嬉　1,十四代　1
5,素材単体,鮑,33,0.14,0.5,0.0005821964330765201,蒸す　6,鯖　6,雲丹　6,つまむ　6,ソース　5,炙る　5,肝　4,煮る　4,産　3,スープ　3,蝦蛄　3,出汁　3,の　3,鱈　3,白子　3,玉　2,穴子　2,鯵　2,つみれ　2,海水　2
6,素材単体,カラスミ,24,0.1,0.36,0.00014554910826913002,ステーキ　7,炙る　5,マグロ　5,キャビア　4,ご飯　4,乗せる　4,天ぷら　4,ウニ　3,穴子　3,顎　3,肉　3,ソース　3,シャリ　3,トロ　3,ベルーガ　2,熟成　2,ミモレット　2,感　2,唐揚げ　2,もの　2
7,素材単体,ばちこ,8,0.03,0.12,7.762619107686934e-05,握り　4,からすみ　2,玉子　2,ステーキ　2,雲丹　2,赤海胆　2,ナマコ　1,カラスミ　1,チップス　1,のどぐろ　1,ぐろ　1,揚げる　1,ある　1,塩　1,けが　1,きつい　1,柔らか　1,祝　1,千葉　1,カワハギ　1
8,素材単体,あん肝,4,0.01,0.06,3.881309553843467e-05,10 years　2,old　2,北海道　2,余市　2,味　2,口　2,広がる　2,いる　2,noble　1,内　1,飲む　1,あらら　1,く　1,不思議　1,旨味　1,貴腐ワイン　1,甘味　1,深い　1,炙る　1,トロ　1
9,素材単体,干瓢,18,0.08,0.27,0.00029109821653826003,巻き　20,巻く　9,巻　5,青柳　4,い　4,赤貝　3,雲丹　3,鮪　2,鉄火　2,白海老　2,シンプル　2,抜群　2,旨い　2,稲荷寿司　2,マグロ　2,カマ　2,焼き　2,中トロ　2,煮る　2,つまむ　2
10,素材単体,かんぴょう,12,0.05,0.18,0.00018436220380756466,巻　6,巻く　6,甘い　4,六　4,多い　3,中　3,お揚げ　3,巻き　3,トロ　3,巻物　2,助六　2,入れる　2,てる　2,うに　2,繊維　1,感じる　1,られる　1,の　1,さ　1,入る　1
11,素材その他,だし,4,0.01,0.06,5.8219643307652e-05,鮑　2,おこげ　1,金目鯛　1,赤　1,酢　1,リゾット　1,巻き　1,たまご　1,握り　1,一週間　1,熟成　1,雲丹　1,知床　1,馬糞　1,ウニ　1,皿　1,毎　1,時　1,具　1,合わせる　1
12,素材その他,鰹節,3,0.01,0.04,4.851636942304333e-05,鹿児島　1,産　1,カツオ　1,揚げる　1,チップ　1,のせる　1,物　1,メルロー　1,嬉　1,宍道湖　1,白魚　1,十四代　1,餡かけ　1,餡　1,美味しい　1,食べに　1,鳥取　1,行く　1,バチコ　1,昆布　1
13,仕事,料理,100,0.44,1.51,0.0007665586368840847,する　23,お酒　18,合わせる　11,の　10,ワイン　10,さん　10,三谷　9,握り　7,今回　6,多い　6,いる　6,美味しい　5,れる　5,魚　5,ない　5,新鮮　5,ある　4,くる　4,どれ　4,それ　4
14,酒,ワイン,62,0.27,0.93,0.0003299113120766947,日本酒　20,する　17,合わせる　12,料理　10,品　8,シャンパン　8,の　6,良い　5,お酒　5,マリアージュ　5,寿司　5,毎　4,好き　4,ない　4,思う　4,出す　4,お願い　3,任せる　3,今回　3,くれる　3
15,酒,日本酒,47,0.2,0.71,0.00048516369423043333,ワイン　20,シャンパン　9,お酒　7,する　6,種　4,合わせる　4,ビール　4,の　4,飲む　4,今日　3,マリアージュ　3,中心　3,くれる　3,料理　3,いる　3,白ワイン　2,赤ワイン　2,口　2,本日　2,お願い　2
16,人,仕入,1,0.0,0.01,9.703273884608667e-06,こと　2,店　1,魚　1,お酒　1,先　1,他　1,鮨屋　1,こちら　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
17,店,店舗,6,0.02,0.09,9.703273884608666e-05,ある　2,幕　2,屋　2,四ツ谷　1,お客様　1,嘆願　1,閉じる　1,残す　1,れる　1,こと　1,教育　1,する　1,安心　1,できる　1,作る　1,扉　1,印象　1,的　1,角　1,京料理　1
18,店,席数,10,0.04,0.15,6.792291719226066e-05,減らす　5,来年　4,席　3,店　3,少ない　2,6　2,そう　2,なる　2,今後　2,華　1,ある　1,大将　1,キレイ　1,三谷　1,末　1,9　1,スタート　1,一斉　1,春　1,盛り上がる　1
19,業態,予約,150,0.66,2.27,0.002163830076267733,する　39,の　24,取れる　21,年　18,いる　18,なる　18,こと　16,１　13,入れる　13,後　13,訪問　12,先　12,電話　11,三谷　11,取る　11,1年　11,店　10,次回　10,待ち　10,前　9
20,雰囲気,満足度,5,0.02,0.07,6.792291719226066e-05,高い　4,店　2,全て　1,任せる　1,私　1,くる　1,料理　1,どれ　1,奥深い　1,気　1,する　1,れる　1,方　1,しれる　1,次回　1,ランチ　1,ディナー　1,出る　1,後　1,圧倒的　1
21,訪問日,今年,14,0.06,0.21,0.00016495565603834734,邪魔　2,赤坂　2,さん　2,最後　2,する　2,年　2,いる　2,なる　2,ーーーーーーーーーーーーー　1,2015年　1,6月　1,至福　1,たくさん　1,いただく　1,まいる　1,1番　1,無駄遣い　1,４　1,ヶ月　1,ぶり　1
22,訪問日,年内,2,0.0,0.03,9.703273884608667e-06,来年　2,次回　1,夜　1,土日　1,12月　1,こと　1,十分　1,楽しむ　1,せる　1,いただく　1,キャンセル　1,待ち　1,お願い　1,する　1,*　*,*　*,*　*,*　*,*　*,*　*
23,訪問日,次回,18,0.08,0.27,0.00027169166876904265,予約　10,する　5,こと　4,の　4,いる　3,いただく　2,三谷　2,1年半　2,後　2,ランチ　2,思う　2,待つ　2,せる　2,られる　2,行く　1,度　1,破産　1,しま　1,うい　1,紀尾井町　1
24,土地,四谷,10,0.04,0.15,9.703273884608667e-06,ある　6,店　3,三谷　2,良い　2,すし　2,東京　1,予約　1,する　1,しまう　1,楽しみ　1,駅　1,アクセス　1,良好　1,静かな場所　1,落ち着く　1,余談　1,サン　1,それ　1,都内　1,一番　1
25,土地,金沢,2,0.0,0.03,1.9406547769217335e-05,あと　1,以来　1,鯖　1,棒　1,鮨　1,印象的　1,ステーキ　1,面白い　1,鯛　1,はらむ　1,ずわい蟹　1,の　1,感じ　1,焼き　1,車海老　1,*　*,*　*,*　*,*　*,*　*
26,土地,都内,4,0.01,0.06,9.703273884608667e-06,思う　2,ゲスト　1,目　1,配る　1,方　1,一　1,屈指　1,実力　1,予約　1,難しい　1,さ　1,四谷　1,それ　1,一番　1,犯罪　1,起きる　1,地域　1,鮨　1,ネタ　1,レベル　1
27,分野,料理,100,0.44,1.51,0.0007665586368840847,する　23,お酒　18,合わせる　11,の　10,ワイン　10,さん　10,三谷　9,握り　7,今回　6,多い　6,いる　6,美味しい　5,れる　5,魚　5,ない　5,新鮮　5,ある　4,くる　4,どれ　4,それ　4
